Cargo,Local,Empresa,Descrição,Rating
ENGENHEIRO DE MACHINE LEARNING (DEEP LEARNING E PYTHON),Home office,Turing.com,"
Pelo menos 3 anos de experiência relevante como engenheiro de software.
Trabalhe para empresas dos EUA do conforto da sua casa e ganhe em dólar.*.
PostedHoje·",Sem informacao
ENGENHEIRO DE MACHINE LEARNING SÊNIOR,"Belo Horizonte, MG",Banco Inter,"
Desenho de arquiteturas otimizadas para soluções de Machine learning.
Vem ser Inter com a gente!!!
Suportar os times de DevOps na implantação e desenvolvimento…
Postado há 17 dias·","4,4"
ENGENHEIRO DE MACHINE LEARNING,"Home office in Barueri, SP",C&A,"
Gestão de códigos no git;
Experiência com pipelines para dados;
Experiência com AWS (S3, Lambda, SageMaker, Step Functions, Code Pipeline);
Postado há 4 dias·","4,1"
"ENGENHEIRO DE MACHINE LEARNING (PYTHON, PYTORCH, E TENSORFLO...",Home office,Turing.com,"
Esta é uma oportunidade única para os engenheiros trabalharem com uma tecnologia inovadora e conquistarem cargos cada vez melhores.
Postado há 17 dias·",Sem informacao
ENGENHEIRO DE MACHINE LEARNING (PYTHON AND JAVA),Home office,Turing.com,"
Design and develop machine learning and deep learning systems.
Run machine learning tests and experiments.
Run machine learning tests and experiments.
Postado há 30+ dias·",Sem informacao
"ENGENHEIRO DE MACHINE LEARNING (PYTHON, PANDAS, NUMPY, SQL,...",Home office,Turing.com,"
Design and validate machine learning models, conduct research into relevant statistical methods.
Perform data analysis, and provide recommendations to put…
Postado há 27 dias·",Sem informacao
ENGENHEIRO DE MACHINE LEARNING,"Home office in Curitiba, PR",ROIT,"
Aplicar conhecimentos e técnicas de Machine Learning, Deep learning e Visão Computacional;
Conhecimento em Orientação a Objeto;
Conhecimento em API's REST;
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE MACHINE LEARNING,Home office in Brasil,Neon Pagamentos,"
O Engenheiro de Machine Learning atuará em conjunto com os cientistas de dados da área de crédito e engenheiros de dados.
Postado há 30+ dias·","4,3"
"ENGENHEIRO DE MACHINE LEARNING E BACKEND (PYTHON, NLP, AND A...",Home office,Turing.com,"
Develop back-end infrastructure, data pipelines, and machine learning models for AI-backed products.
Assist in designing, developing, testing, deploying,…
Postado há 30+ dias·",Sem informacao
ENGENHEIRO DE MACHINE LEARNING PLENO,"Belo Horizonte, MG",Yellow,"
Conhecimento intermediário em redes, padrões de projetos, otimização e outros fundamentos de computação e engenharia de software;
Postado há 30+ dias·","3,2"
